Symbol,Path,Description
CCMF26C008000,BVMF-Derivatives\CCMF26C008000,MILHO CAMPINAS
CGRA3SL93,BVMF-Equities\CGRA3SL93,SECLOAN GRAZZIOTIN  ON
CCMF26P008000E,BVMF-Derivatives\CCMF26P008000E,MILHO CAMPINAS
BPAC5SL92,BVMF-Equities\BPAC5SL92,SECLOAN BTGP BANCO  PNA     N2
CCMF26P008000,BVMF-Derivatives\CCMF26P008000,MILHO CAMPINAS
BIIB34SL91,BVMF-Equities\BIIB34SL91,SECLOAN BIOGEN      DRN
CCMF26P007700E,BVMF-Derivatives\CCMF26P007700E,MILHO CAMPINAS
BEWJ39SL92,BVMF-Equities\BEWJ39SL92,SECLOAN MSCI JAPAN  DRE
CCMF26C008000E,BVMF-Derivatives\CCMF26C008000E,MILHO CAMPINAS
BRKM3SL93,BVMF-Equities\BRKM3SL93,SECLOAN BRASKEM     ON      N1
CCMF26P007175,BVMF-Derivatives\CCMF26P007175,MILHO CAMPINAS
EUCA4SL92,BVMF-Equities\EUCA4SL92,SECLOAN EUCATEX     PN      N1
BGIV25C033800,BVMF-Derivatives\BGIV25C033800,BOI GORDO R$
EQIX34SL92,BVMF-Equities\EQIX34SL92,SECLOAN EQUINIX INC DRN
CCMF26P007175E,BVMF-Derivatives\CCMF26P007175E,MILHO CAMPINAS
EQIX34SL91,BVMF-Equities\EQIX34SL91,SECLOAN EQUINIX INC DRN
BGIV25P033800,BVMF-Derivatives\BGIV25P033800,BOI GORDO R$
CLSC4SL92,BVMF-Equities\CLSC4SL92,SECLOAN CELESC      PN  EJ  N2
BGIV25C033800E,BVMF-Derivatives\BGIV25C033800E,BOI GORDO R$
CLSC3SL91,BVMF-Equities\CLSC3SL91,SECLOAN CELESC      ON  EJ  N2
BGIV25P033800E,BVMF-Derivatives\BGIV25P033800E,BOI GORDO R$
G1DS34SL91,BVMF-Equities\G1DS34SL91,SECLOAN GDS HOLDINGSDRN
CCMX25P007300E,BVMF-Derivatives\CCMX25P007300E,MILHO CAMPINAS
HFOF11SL93,BVMF-Equities\HFOF11SL93,SECLOAN FII HTOPFOF3CI
CCMX25C007300E,BVMF-Derivatives\CCMX25C007300E,MILHO CAMPINAS
GILD34SL91,BVMF-Equities\GILD34SL91,SECLOAN GILEAD      DRN
CCMX25C007300,BVMF-Derivatives\CCMX25C007300,MILHO CAMPINAS
HGBS11SL93,BVMF-Equities\HGBS11SL93,SECLOAN FII HEDGEBS CI
CCMX25P007300,BVMF-Derivatives\CCMX25P007300,MILHO CAMPINAS
INEP3SL93,BVMF-Equities\INEP3SL93,SECLOAN INEPAR      ON
CCMX25C006700,BVMF-Derivatives\CCMX25C006700,MILHO CAMPINAS
PINE4SL92,BVMF-Equities\PINE4SL92,SECLOAN PINE        PN      N2
CCMX25C006700E,BVMF-Derivatives\CCMX25C006700E,MILHO CAMPINAS
MILS3SL92,BVMF-Equities\MILS3SL92,SECLOAN MILLS       ON      NM
CCMX25P006700E,BVMF-Derivatives\CCMX25P006700E,MILHO CAMPINAS
LUPA3SL92,BVMF-Equities\LUPA3SL92,SECLOAN LUPATECH    ON      NM
CCMX25C007450,BVMF-Derivatives\CCMX25C007450,MILHO CAMPINAS
JFEN3SL93,BVMF-Equities\JFEN3SL93,SECLOAN JOAO FORTES ON
CCMX25P006700,BVMF-Derivatives\CCMX25P006700,MILHO CAMPINAS
PGMN3SL92,BVMF-Equities\PGMN3SL92,SECLOAN PAGUE MENOS ON      NM
CCMX25P007450,BVMF-Derivatives\CCMX25P007450,MILHO CAMPINAS
TASA3SL93,BVMF-Equities\TASA3SL93,SECLOAN TAURUS ARMASON      N2
BGIX25C035500,BVMF-Derivatives\BGIX25C035500,BOI GORDO R$
TPIS3SL92,BVMF-Equities\TPIS3SL92,SECLOAN TRIUNFO PARTON      NM
CCMX25C007450E,BVMF-Derivatives\CCMX25C007450E,MILHO CAMPINAS
RAPT3SL92,BVMF-Equities\RAPT3SL92,SECLOAN RANDON PART ON      N1
BGIX25C035500E,BVMF-Derivatives\BGIX25C035500E,BOI GORDO R$
REGN34SL91,BVMF-Equities\REGN34SL91,SECLOAN REGENERON PHDRN
CCMX25P007450E,BVMF-Derivatives\CCMX25P007450E,MILHO CAMPINAS
SMAC11SL92,BVMF-Equities\SMAC11SL92,SECLOAN IT NOW SMALLCI
CCMH26C007225E,BVMF-Derivatives\CCMH26C007225E,MILHO CAMPINAS
VISA34SL93,BVMF-Equities\VISA34SL93,SECLOAN VISA INC    DRN
CCMH26P007225,BVMF-Derivatives\CCMH26P007225,MILHO CAMPINAS
UNIP3SL93,BVMF-Equities\UNIP3SL93,SECLOAN UNIPAR      ON
BGIX25P035500,BVMF-Derivatives\BGIX25P035500,BOI GORDO R$
TTEN3SL92,BVMF-Equities\TTEN3SL92,SECLOAN 3TENTOS     ON      NM
CCMH26C007225,BVMF-Derivatives\CCMH26C007225,MILHO CAMPINAS
VINO11SL92,BVMF-Equities\VINO11SL92,SECLOAN FII VINCI OFCI
BGIX25P035500E,BVMF-Derivatives\BGIX25P035500E,BOI GORDO R$
USTK11SL92,BVMF-Equities\USTK11SL92,SECLOAN INVESTO USTKCI
CCMH26P007225E,BVMF-Derivatives\CCMH26P007225E,MILHO CAMPINAS
VIVA3SL92,BVMF-Equities\VIVA3SL92,SECLOAN VIVARA S.A. ON      NM
BGIU25C031800,BVMF-Derivatives\BGIU25C031800,BOI GORDO R$
XPSF11SL92,BVMF-Equities\XPSF11SL92,SECLOAN FII XP SELECCI
BGIU25P031800,BVMF-Derivatives\BGIU25P031800,BOI GORDO R$
XPIN11SL92,BVMF-Equities\XPIN11SL92,SECLOAN FII XP INDL CI  ER
BGIU25P031800E,BVMF-Derivatives\BGIU25P031800E,BOI GORDO R$
WEST3SL92,BVMF-Equities\WEST3SL92,SECLOAN WESTWING    ON      NM
BGIU25C031800E,BVMF-Derivatives\BGIU25C031800E,BOI GORDO R$
BDVY39SL92,BVMF-Equities\BDVY39SL92,SECLOAN SELECT DIVIDDRE
CCMF26C007925,BVMF-Derivatives\CCMF26C007925,MILHO CAMPINAS
BMEB4SL92,BVMF-Equities\BMEB4SL92,SECLOAN MERCANTIL   PN      N1
CCMF26C007225E,BVMF-Derivatives\CCMF26C007225E,MILHO CAMPINAS
AMBP3SL93,BVMF-Equities\AMBP3SL93,SECLOAN AMBIPAR     ON      NM
CCMF26C007225,BVMF-Derivatives\CCMF26C007225,MILHO CAMPINAS
AERI3SL93,BVMF-Equities\AERI3SL93,SECLOAN AERIS       ON      NM
CCMF26P007225E,BVMF-Derivatives\CCMF26P007225E,MILHO CAMPINAS
BBAS3SL93,BVMF-Equities\BBAS3SL93,SECLOAN BRASIL      ON      NM
CCMF26P007225,BVMF-Derivatives\CCMF26P007225,MILHO CAMPINAS
B3SA3SL93,BVMF-Equities\B3SA3SL93,SECLOAN B3          ON  EJ  NM
CCMF26P007925E,BVMF-Derivatives\CCMF26P007925E,MILHO CAMPINAS
BRAP3SL93,BVMF-Equities\BRAP3SL93,SECLOAN BRADESPAR   ON      N1
CCMF26C007925E,BVMF-Derivatives\CCMF26C007925E,MILHO CAMPINAS
BPAN4SL93,BVMF-Equities\BPAN4SL93,SECLOAN BANCO PAN   PN      N1
CCMF26C007150,BVMF-Derivatives\CCMF26C007150,MILHO CAMPINAS
BRBI11SL93,BVMF-Equities\BRBI11SL93,SECLOAN BR PARTNERS UNT     N2
CCMF26C007150E,BVMF-Derivatives\CCMF26C007150E,MILHO CAMPINAS
BRKM5SL93,BVMF-Equities\BRKM5SL93,SECLOAN BRASKEM     PNA     N1
CCMF26P007925,BVMF-Derivatives\CCMF26P007925,MILHO CAMPINAS
BRAP4SL93,BVMF-Equities\BRAP4SL93,SECLOAN BRADESPAR   PN      N1
CCMF26C008100,BVMF-Derivatives\CCMF26C008100,MILHO CAMPINAS
CMIG3SL93,BVMF-Equities\CMIG3SL93,SECLOAN CEMIG       ON  EJ  N1
CCMF26P008100,BVMF-Derivatives\CCMF26P008100,MILHO CAMPINAS
CHVX34SL92,BVMF-Equities\CHVX34SL92,SECLOAN CHEVRON     DRN
CCMF26P007150E,BVMF-Derivatives\CCMF26P007150E,MILHO CAMPINAS
BRSR6SL93,BVMF-Equities\BRSR6SL93,SECLOAN BANRISUL    PNB     N1
CCMF26P007150,BVMF-Derivatives\CCMF26P007150,MILHO CAMPINAS
CBAV3SL93,BVMF-Equities\CBAV3SL93,SECLOAN CBA         ON      NM
CCMF26C008100E,BVMF-Derivatives\CCMF26C008100E,MILHO CAMPINAS
CAML3SL93,BVMF-Equities\CAML3SL93,SECLOAN CAMIL       ON      NM
BGIU25C030500,BVMF-Derivatives\BGIU25C030500,BOI GORDO R$
CSAN3SL93,BVMF-Equities\CSAN3SL93,SECLOAN COSAN       ON      NM
BGIU25C030500E,BVMF-Derivatives\BGIU25C030500E,BOI GORDO R$
CPFE3SL93,BVMF-Equities\CPFE3SL93,SECLOAN CPFL ENERGIAON      NM
BGIU25P030500,BVMF-Derivatives\BGIU25P030500,BOI GORDO R$
CMIN3SL93,BVMF-Equities\CMIN3SL93,SECLOAN CSNMINERACAOON      N2
CCMF26P008100E,BVMF-Derivatives\CCMF26P008100E,MILHO CAMPINAS
CSED3SL93,BVMF-Equities\CSED3SL93,SECLOAN CRUZEIRO EDUON      NM
BGIU25P030500E,BVMF-Derivatives\BGIU25P030500E,BOI GORDO R$
CMIG4SL93,BVMF-Equities\CMIG4SL93,SECLOAN CEMIG       PN  EJ  N1
BGIX25P034000,BVMF-Derivatives\BGIX25P034000,BOI GORDO R$
DEXP3SL93,BVMF-Equities\DEXP3SL93,SECLOAN DEXXOS PAR  ON      N1
BGIX25C034000E,BVMF-Derivatives\BGIX25C034000E,BOI GORDO R$
CSMG3SL93,BVMF-Equities\CSMG3SL93,SECLOAN COPASA      ON  EJ  NM
BGIX25C034000,BVMF-Derivatives\BGIX25C034000,BOI GORDO R$
CYRE3SL93,BVMF-Equities\CYRE3SL93,SECLOAN CYRELA REALTON      NM
BGIX25P034000E,BVMF-Derivatives\BGIX25P034000E,BOI GORDO R$
CSNA3SL93,BVMF-Equities\CSNA3SL93,SECLOAN SID NACIONALON
BGIV25C032800,BVMF-Derivatives\BGIV25C032800,BOI GORDO R$
DMVF3SL93,BVMF-Equities\DMVF3SL93,SECLOAN D1000VFARMA ON      NM
BGIU25C029500E,BVMF-Derivatives\BGIU25C029500E,BOI GORDO R$
ETER3SL93,BVMF-Equities\ETER3SL93,SECLOAN ETERNIT     ON      NM
BGIV25P032800E,BVMF-Derivatives\BGIV25P032800E,BOI GORDO R$
ELET3SL93,BVMF-Equities\ELET3SL93,SECLOAN ELETROBRAS  ON      N1
BGIV25P032800,BVMF-Derivatives\BGIV25P032800,BOI GORDO R$
EQTL3SL93,BVMF-Equities\EQTL3SL93,SECLOAN EQUATORIAL  ON      NM
BGIU25C029500,BVMF-Derivatives\BGIU25C029500,BOI GORDO R$
ELET6SL93,BVMF-Equities\ELET6SL93,SECLOAN ELETROBRAS  PNB     N1
BGIV25C032800E,BVMF-Derivatives\BGIV25C032800E,BOI GORDO R$
EGIE3SL93,BVMF-Equities\EGIE3SL93,SECLOAN ENGIE BRASILON      NM
BGIU25P029500E,BVMF-Derivatives\BGIU25P029500E,BOI GORDO R$
FLRY3SL93,BVMF-Equities\FLRY3SL93,SECLOAN FLEURY      ON      NM
BGIX25C029500E,BVMF-Derivatives\BGIX25C029500E,BOI GORDO R$
FHER3SL92,BVMF-Equities\FHER3SL92,SECLOAN FER HERINGERON      NM
BGIU25P029500,BVMF-Derivatives\BGIU25P029500,BOI GORDO R$
EZTC3SL93,BVMF-Equities\EZTC3SL93,SECLOAN EZTEC       ON      NM
BGIX25C029500,BVMF-Derivatives\BGIX25C029500,BOI GORDO R$
HYPE3SL93,BVMF-Equities\HYPE3SL93,SECLOAN HYPERA      ON  EJ  NM
BGIX25P029500,BVMF-Derivatives\BGIX25P029500,BOI GORDO R$
GUAR3SL93,BVMF-Equities\GUAR3SL93,SECLOAN GUARARAPES  ON      NM
BGIZ25C029500E,BVMF-Derivatives\BGIZ25C029500E,BOI GORDO R$
ITSA4SL93,BVMF-Equities\ITSA4SL93,SECLOAN ITAUSA      PN      N1
BGIZ25C029500,BVMF-Derivatives\BGIZ25C029500,BOI GORDO R$
INTB3SL93,BVMF-Equities\INTB3SL93,SECLOAN INTELBRAS   ON      NM
BGIZ25P029500,BVMF-Derivatives\BGIZ25P029500,BOI GORDO R$
IRBR3SL93,BVMF-Equities\IRBR3SL93,SECLOAN IRBBRASIL REON      NM
BGIX25P029500E,BVMF-Derivatives\BGIX25P029500E,BOI GORDO R$
LOGG3SL93,BVMF-Equities\LOGG3SL93,SECLOAN LOG COM PROPON      NM
BGIZ25P029500E,BVMF-Derivatives\BGIZ25P029500E,BOI GORDO R$
LAND3SL93,BVMF-Equities\LAND3SL93,SECLOAN TERRASANTAPAON      NM
BGIZ25C034000,BVMF-Derivatives\BGIZ25C034000,BOI GORDO R$
MOVI3SL93,BVMF-Equities\MOVI3SL93,SECLOAN MOVIDA      ON      NM
BGIZ25C034000E,BVMF-Derivatives\BGIZ25C034000E,BOI GORDO R$
MLAS3SL93,BVMF-Equities\MLAS3SL93,SECLOAN MULTILASER  ON      NM
CCMH26C007250,BVMF-Derivatives\CCMH26C007250,MILHO CAMPINAS
MDIA3SL93,BVMF-Equities\MDIA3SL93,SECLOAN M.DIASBRANCOON  ED  NM
BGIZ25P034000,BVMF-Derivatives\BGIZ25P034000,BOI GORDO R$
MRFG3SL93,BVMF-Equities\MRFG3SL93,SECLOAN MARFRIG     ON  ED  NM
BGIZ25P034000E,BVMF-Derivatives\BGIZ25P034000E,BOI GORDO R$
LPSB3SL93,BVMF-Equities\LPSB3SL93,SECLOAN LOPES BRASILON      NM
CCMH26P007250,BVMF-Derivatives\CCMH26P007250,MILHO CAMPINAS
NEOE3SL93,BVMF-Equities\NEOE3SL93,SECLOAN NEOENERGIA  ON      NM
CCMH26C007250E,BVMF-Derivatives\CCMH26C007250E,MILHO CAMPINAS
OPCT3SL92,BVMF-Equities\OPCT3SL92,SECLOAN OCEANPACT   ON      NM
CCMH26P007250E,BVMF-Derivatives\CCMH26P007250E,MILHO CAMPINAS
MYPK3SL93,BVMF-Equities\MYPK3SL93,SECLOAN IOCHP-MAXIONON      NM
SJCX25C002650,BVMF-Derivatives\SJCX25C002650,SOJA CME LIQFIN
PCAR3SL93,BVMF-Equities\PCAR3SL93,SECLOAN P.ACUCAR-CBDON      NM
SJCX25C002650E,BVMF-Derivatives\SJCX25C002650E,SOJA CME LIQFIN
OIBR3SL93,BVMF-Equities\OIBR3SL93,SECLOAN OI          ON      N1
SJCH26P002400,BVMF-Derivatives\SJCH26P002400,SOJA CME LIQFIN
PETZ3SL93,BVMF-Equities\PETZ3SL93,SECLOAN PETZ        ON      NM
SJCX25P002650,BVMF-Derivatives\SJCX25P002650,SOJA CME LIQFIN
PETR4SL93,BVMF-Equities\PETR4SL93,SECLOAN PETROBRAS   PN      N2
SJCH26C002400E,BVMF-Derivatives\SJCH26C002400E,SOJA CME LIQFIN
S1TX34SL93,BVMF-Equities\S1TX34SL93,SECLOAN SEAGATE HOLDDRN ED
SJCH26C002400,BVMF-Derivatives\SJCH26C002400,SOJA CME LIQFIN
PLPL3SL93,BVMF-Equities\PLPL3SL93,SECLOAN PLANOEPLANO ON      NM
SJCX25P002650E,BVMF-Derivatives\SJCX25P002650E,SOJA CME LIQFIN
PETR3SL93,BVMF-Equities\PETR3SL93,SECLOAN PETROBRAS   ON      N2
SJCH26P002600,BVMF-Derivatives\SJCH26P002600,SOJA CME LIQFIN
BIEM39SL93,BVMF-Equities\BIEM39SL93,SECLOAN COREMSCI EMKDRE
SJCH26P002600E,BVMF-Derivatives\SJCH26P002600E,SOJA CME LIQFIN
IBOB11SL93,BVMF-Equities\IBOB11SL93,SECLOAN PACTUAL IBOVCI
SJCH26P002400E,BVMF-Derivatives\SJCH26P002400E,SOJA CME LIQFIN
T1TW34SL93,BVMF-Equities\T1TW34SL93,SECLOAN TAKE-TWO INTDRN
SJCH26C002600E,BVMF-Derivatives\SJCH26C002600E,SOJA CME LIQFIN
BIJR39SL93,BVMF-Equities\BIJR39SL93,SECLOAN CORESMALLCAPDRE
SJCH26C002600,BVMF-Derivatives\SJCH26C002600,SOJA CME LIQFIN
BOVS11SL93,BVMF-Equities\BOVS11SL93,SECLOAN SAFRAETFIBOVCI
BGIV25C038550,BVMF-Derivatives\BGIV25C038550,BOI GORDO R$
UNHH34SL93,BVMF-Equities\UNHH34SL93,SECLOAN UNITEDHEALTHDRN
BGIV25P038550E,BVMF-Derivatives\BGIV25P038550E,BOI GORDO R$
ASML34SL93,BVMF-Equities\ASML34SL93,SECLOAN ASML HOLD   DRN
BGIV25P038550,BVMF-Derivatives\BGIV25P038550,BOI GORDO R$
S1PO34SL93,BVMF-Equities\S1PO34SL93,SECLOAN SPOTIFY TECHDRN
BGIV25C038550E,BVMF-Derivatives\BGIV25C038550E,BOI GORDO R$
JOGO11SL93,BVMF-Equities\JOGO11SL93,SECLOAN INVESTO JOGOCI
BGIV25C034700,BVMF-Derivatives\BGIV25C034700,BOI GORDO R$
T1OW34SL93,BVMF-Equities\T1OW34SL93,SECLOAN AMERICAN TOWDRN ED
ICFZ25C028000,BVMF-Derivatives\ICFZ25C028000,CAFE ARABICA
ADBE34SL93,BVMF-Equities\ADBE34SL93,SECLOAN ADOBE INC   DRN
BGIV25P034700E,BVMF-Derivatives\BGIV25P034700E,BOI GORDO R$
S1HW34SL91,BVMF-Equities\S1HW34SL91,SECLOAN THE SHERWIN DRN
BGIV25P034700,BVMF-Derivatives\BGIV25P034700,BOI GORDO R$
N1GG34SL91,BVMF-Equities\N1GG34SL91,SECLOAN NATIONAL GRIDRN
BGIV25C034700E,BVMF-Derivatives\BGIV25C034700E,BOI GORDO R$
ALUP11SL93,BVMF-Equities\ALUP11SL93,SECLOAN ALUPAR      UNT     N2
ICFZ25C028000E,BVMF-Derivatives\ICFZ25C028000E,CAFE ARABICA
ALLD3SL93,BVMF-Equities\ALLD3SL93,SECLOAN ALLIED      ON      NM
ICFZ25C036500,BVMF-Derivatives\ICFZ25C036500,CAFE ARABICA
AVLL3SL93,BVMF-Equities\AVLL3SL93,SECLOAN ALPHAVILLE  ON      NM
ICFZ25P028000E,BVMF-Derivatives\ICFZ25P028000E,CAFE ARABICA
BEWH39SL91,BVMF-Equities\BEWH39SL91,SECLOAN MSCIHONGKONGDRE
ICFZ25P028000,BVMF-Derivatives\ICFZ25P028000,CAFE ARABICA
BIVB39SL93,BVMF-Equities\BIVB39SL93,SECLOAN CORE SP 500 DRE
ICFZ25P036500,BVMF-Derivatives\ICFZ25P036500,CAFE ARABICA
BACW39SL93,BVMF-Equities\BACW39SL93,SECLOAN MSCI ACWI   DRE
ICFZ25C036500E,BVMF-Derivatives\ICFZ25C036500E,CAFE ARABICA
BBSD11SL93,BVMF-Equities\BBSD11SL93,SECLOAN BB ETF SP DVCI
ICFZ25P044000E,BVMF-Derivatives\ICFZ25P044000E,CAFE ARABICA
C1CI34SL91,BVMF-Equities\C1CI34SL91,SECLOAN CROWN CASTLEDRN
ICFZ25C044000,BVMF-Derivatives\ICFZ25C044000,CAFE ARABICA
BOAC34SL92,BVMF-Equities\BOAC34SL92,SECLOAN BANK AMERICADRN
ICFZ25P036500E,BVMF-Derivatives\ICFZ25P036500E,CAFE ARABICA
BMOB3SL93,BVMF-Equities\BMOB3SL93,SECLOAN BEMOBI TECH ON      NM
ICFZ25C044000E,BVMF-Derivatives\ICFZ25C044000E,CAFE ARABICA
BLAU3SL93,BVMF-Equities\BLAU3SL93,SECLOAN BLAU        ON  EJ  NM
ICFZ25P044000,BVMF-Derivatives\ICFZ25P044000,CAFE ARABICA
BIYF39SL93,BVMF-Equities\BIYF39SL93,SECLOAN US FINANCIALDRE
BGIV25C031400,BVMF-Derivatives\BGIV25C031400,BOI GORDO R$
CSCO34SL91,BVMF-Equities\CSCO34SL91,SECLOAN CISCO       DRN
BGIV25P031400E,BVMF-Derivatives\BGIV25P031400E,BOI GORDO R$
CURY3SL93,BVMF-Equities\CURY3SL93,SECLOAN CURY S/A    ON      NM
BGIV25P031400,BVMF-Derivatives\BGIV25P031400,BOI GORDO R$
C1DW34SL91,BVMF-Equities\C1DW34SL91,SECLOAN CDW CORP    DRN
BGIV25C031400E,BVMF-Derivatives\BGIV25C031400E,BOI GORDO R$
CPLE6SL93,BVMF-Equities\CPLE6SL93,SECLOAN COPEL       PNB     N2
BGIX25C035300,BVMF-Derivatives\BGIX25C035300,BOI GORDO R$
D1OC34SL93,BVMF-Equities\D1OC34SL93,SECLOAN DOCUSIGN INCDRN
BGIX25C035300E,BVMF-Derivatives\BGIX25C035300E,BOI GORDO R$
DIVO11SL93,BVMF-Equities\DIVO11SL93,SECLOAN IT NOW IDIV CI
BGIX25P035300,BVMF-Derivatives\BGIX25P035300,BOI GORDO R$
DEAI34SL91,BVMF-Equities\DEAI34SL91,SECLOAN DELTA       DRN
CCMU26C005500,BVMF-Derivatives\CCMU26C005500,MILHO CAMPINAS
FESA4SL93,BVMF-Equities\FESA4SL93,SECLOAN FERBASA     PN      N1
BGIX25P035300E,BVMF-Derivatives\BGIX25P035300E,BOI GORDO R$
GEOO34SL93,BVMF-Equities\GEOO34SL93,SECLOAN GEAEROSPACE DRN ED
CCMU26C005500E,BVMF-Derivatives\CCMU26C005500E,MILHO CAMPINAS
D1VN34SL91,BVMF-Equities\D1VN34SL91,SECLOAN DEVON ENERGYDRN
BGIV25C033400E,BVMF-Derivatives\BGIV25C033400E,BOI GORDO R$
HBOR3SL93,BVMF-Equities\HBOR3SL93,SECLOAN HELBOR      ON      NM
CCMU26P005500,BVMF-Derivatives\CCMU26P005500,MILHO CAMPINAS
GSGI34SL93,BVMF-Equities\GSGI34SL93,SECLOAN GOLDMANSACHSDRN
BGIV25C033400,BVMF-Derivatives\BGIV25C033400,BOI GORDO R$
L1UL34SL91,BVMF-Equities\L1UL34SL91,SECLOAN LULULEMON ATDRN
CCMU26P005500E,BVMF-Derivatives\CCMU26P005500E,MILHO CAMPINAS
GMCO34SL93,BVMF-Equities\GMCO34SL93,SECLOAN GENERAL MOT DRN
BGIV25P033400,BVMF-Derivatives\BGIV25P033400,BOI GORDO R$
HOME34SL93,BVMF-Equities\HOME34SL93,SECLOAN HOME DEPOT  DRN
CCMH26P007375E,BVMF-Derivatives\CCMH26P007375E,MILHO CAMPINAS
MMMC34SL93,BVMF-Equities\MMMC34SL93,SECLOAN 3M          DRN
CCMH26C007375E,BVMF-Derivatives\CCMH26C007375E,MILHO CAMPINAS
MATD3SL93,BVMF-Equities\MATD3SL93,SECLOAN MATER DEI   ON      NM
CCMH26C007375,BVMF-Derivatives\CCMH26C007375,MILHO CAMPINAS
M1AA34SL91,BVMF-Equities\M1AA34SL91,SECLOAN MID-AMERICA DRN
BGIV25P033400E,BVMF-Derivatives\BGIV25P033400E,BOI GORDO R$
LIGT3SL93,BVMF-Equities\LIGT3SL93,SECLOAN LIGHT S/A   ON      NM
CCMH26P007375,BVMF-Derivatives\CCMH26P007375,MILHO CAMPINAS
LEVE3SL93,BVMF-Equities\LEVE3SL93,SECLOAN METAL LEVE  ON      NM
ICFZ25P027000E,BVMF-Derivatives\ICFZ25P027000E,CAFE ARABICA
ODPV3SL93,BVMF-Equities\ODPV3SL93,SECLOAN ODONTOPREV  ON  EJ  NM
ICFZ25P027000,BVMF-Derivatives\ICFZ25P027000,CAFE ARABICA
NVDC34SL93,BVMF-Equities\NVDC34SL93,SECLOAN NVIDIA CORP DRN
ICFZ25C027000E,BVMF-Derivatives\ICFZ25C027000E,CAFE ARABICA
PEPB34SL93,BVMF-Equities\PEPB34SL93,SECLOAN PEPSICO INC DRN
ICFZ25C027750,BVMF-Derivatives\ICFZ25C027750,CAFE ARABICA
P1DD34SL93,BVMF-Equities\P1DD34SL93,SECLOAN PDD HOLDING DRN
ICFZ25C027000,BVMF-Derivatives\ICFZ25C027000,CAFE ARABICA
NGRD3SL93,BVMF-Equities\NGRD3SL93,SECLOAN NEOGRID     ON      NM
ICFZ25P027750,BVMF-Derivatives\ICFZ25P027750,CAFE ARABICA
RAIL3SL93,BVMF-Equities\RAIL3SL93,SECLOAN RUMO S.A.   ON      NM
ICFZ25C027750E,BVMF-Derivatives\ICFZ25C027750E,CAFE ARABICA
R1IN34SL93,BVMF-Equities\R1IN34SL93,SECLOAN REALTY INCOMDRN ED
CCMH26C008200,BVMF-Derivatives\CCMH26C008200,MILHO CAMPINAS
QUAL3SL93,BVMF-Equities\QUAL3SL93,SECLOAN QUALICORP   ON      NM
POSI3SL93,BVMF-Equities\POSI3SL93,SECLOAN POSITIVO TECON      NM
CCMH26C008200E,BVMF-Derivatives\CCMH26C008200E,MILHO CAMPINAS
PHMO34SL91,BVMF-Equities\PHMO34SL91,SECLOAN PHILIP MORRIDRN
ICFZ25P027750E,BVMF-Derivatives\ICFZ25P027750E,CAFE ARABICA
SAPR11SL93,BVMF-Equities\SAPR11SL93,SECLOAN SANEPAR     UNT     N2
CCMK26C007150,BVMF-Derivatives\CCMK26C007150,MILHO CAMPINAS
ROMI3SL93,BVMF-Equities\ROMI3SL93,SECLOAN ROMI        ON  EJ  NM
CCMH26P008200E,BVMF-Derivatives\CCMH26P008200E,MILHO CAMPINAS
RENT3SL93,BVMF-Equities\RENT3SL93,SECLOAN LOCALIZA    ON  EJ  NM
RDOR3SL93,BVMF-Equities\RDOR3SL93,SECLOAN REDE D OR   ON  EJ  NM
CCMH26P008200,BVMF-Derivatives\CCMH26P008200,MILHO CAMPINAS
RAPT4SL93,BVMF-Equities\RAPT4SL93,SECLOAN RANDON PART PN      N1
CCMK26P007150,BVMF-Derivatives\CCMK26P007150,MILHO CAMPINAS
STBP3SL93,BVMF-Equities\STBP3SL93,SECLOAN SANTOS BRP  ON
CCMK26C007150E,BVMF-Derivatives\CCMK26C007150E,MILHO CAMPINAS
SLCE3SL93,BVMF-Equities\SLCE3SL93,SECLOAN SLC AGRICOLAON      NM
CCMK26P006550,BVMF-Derivatives\CCMK26P006550,MILHO CAMPINAS
SIMH3SL93,BVMF-Equities\SIMH3SL93,SECLOAN SIMPAR      ON      NM
CCMK26C006550E,BVMF-Derivatives\CCMK26C006550E,MILHO CAMPINAS
SHUL4SL93,BVMF-Equities\SHUL4SL93,SECLOAN SCHULZ      PN  EJ
CCMK26C006550,BVMF-Derivatives\CCMK26C006550,MILHO CAMPINAS
SBFG3SL93,BVMF-Equities\SBFG3SL93,SECLOAN GRUPO SBF   ON      NM
CCMK26P007150E,BVMF-Derivatives\CCMK26P007150E,MILHO CAMPINAS
TAEE11SL93,BVMF-Equities\TAEE11SL93,SECLOAN TAESA       UNT     N2
CCMK26P006550E,BVMF-Derivatives\CCMK26P006550E,MILHO CAMPINAS
SUZB3SL93,BVMF-Equities\SUZB3SL93,SECLOAN SUZANO S.A. ON  ATZ NM
SJCQ26P002500,BVMF-Derivatives\SJCQ26P002500,SOJA CME LIQFIN
TASA4SL93,BVMF-Equities\TASA4SL93,SECLOAN TAURUS ARMASPN      N2
SJCQ26C002500E,BVMF-Derivatives\SJCQ26C002500E,SOJA CME LIQFIN
TLNC34SL91,BVMF-Equities\TLNC34SL91,SECLOAN TELEFONIC   DRN
SJCQ26C002500,BVMF-Derivatives\SJCQ26C002500,SOJA CME LIQFIN
TIMS3SL93,BVMF-Equities\TIMS3SL93,SECLOAN TIM         ON  EJ  NM
SJCQ26P002500E,BVMF-Derivatives\SJCQ26P002500E,SOJA CME LIQFIN
UGPA3SL93,BVMF-Equities\UGPA3SL93,SECLOAN ULTRAPAR    ON      NM
