Symbol,Path,Description
B3SA3M,BVMF-Equities\B3SA3M,B3          ON  EJ  NM
B3SA3R,BVMF-Equities\B3SA3R,B3          ON  EJ  NM
B3SA3Q,BVMF-Equities\B3SA3Q,B3          ON  EJ  NM
GGBR4T,BVMF-Equities\GGBR4T,GERDAU      PN      N1
FESA4T,BVMF-Equities\FESA4T,FERBASA     PN      N1
TKNO4T,BVMF-Equities\TKNO4T,TEKNO       PN
MGEL4T,BVMF-Equities\MGEL4T,MANGELS INDLPN
TKNO3T,BVMF-Equities\TKNO3T,TEKNO       ON
PATI3T,BVMF-Equities\PATI3T,PANATLANTICAON
APTI4T,BVMF-Equities\APTI4T,ALIPERTI    PN
GOAU3T,BVMF-Equities\GOAU3T,GERDAU MET  ON      N1
MGEL3T,BVMF-Equities\MGEL3T,MANGELS INDLON
PATI4T,BVMF-Equities\PATI4T,PANATLANTICAPN
PMAM3T,BVMF-Equities\PMAM3T,PARANAPANEMAON  ES  NM
GOAU4T,BVMF-Equities\GOAU4T,GERDAU MET  PN      N1
VALE3T,BVMF-Equities\VALE3T,VALE        ON      NM
FESA3T,BVMF-Equities\FESA3T,FERBASA     ON      N1
APTI3T,BVMF-Equities\APTI3T,ALIPERTI    ON
TF515,BVMF-Equities\TF515,ATIVO TESTE ON SPA
APTI4,BVMF-Equities\APTI4,ALIPERTI    PN
GGBR3T,BVMF-Equities\GGBR3T,GERDAU      ON      N1
TF514,BVMF-Equities\TF514,ATIVO TESTE   ON DR
TF513,BVMF-Equities\TF513,ATIVO TESTE ON
PATI3,BVMF-Equities\PATI3,PANATLANTICAON
APTI3,BVMF-Equities\APTI3,ALIPERTI    ON
APTI3F,BVMF-Equities\APTI3F,ALIPERTI    ON
APTI4F,BVMF-Equities\APTI4F,ALIPERTI    PN
PATI3F,BVMF-Equities\PATI3F,PANATLANTICAON
TKNO4F,BVMF-Equities\TKNO4F,TEKNO       PN
TKNO3,BVMF-Equities\TKNO3,TEKNO       ON
TKNO4,BVMF-Equities\TKNO4,TEKNO       PN
PATI4F,BVMF-Equities\PATI4F,PANATLANTICAPN
PATI4,BVMF-Equities\PATI4,PANATLANTICAPN
PMAM3R,BVMF-Equities\PMAM3R,PARANAPANEMAON  ES  NM
PMAM3Q,BVMF-Equities\PMAM3Q,PARANAPANEMAON  ES  NM
PMAM3F,BVMF-Equities\PMAM3F,PARANAPANEMAON  ES  NM
PMAM3,BVMF-Equities\PMAM3,PARANAPANEMAON  ES  NM
TKNO3F,BVMF-Equities\TKNO3F,TEKNO       ON
GOAU4F,BVMF-Equities\GOAU4F,GERDAU MET  PN      N1
GOAU4,BVMF-Equities\GOAU4,GERDAU MET  PN      N1
GGBR4,BVMF-Equities\GGBR4,GERDAU      PN      N1
GGBR4F,BVMF-Equities\GGBR4F,GERDAU      PN      N1
PMAM3M,BVMF-Equities\PMAM3M,PARANAPANEMAON  ES  NM
GGBR4Q,BVMF-Equities\GGBR4Q,GERDAU      PN      N1
GOAU3F,BVMF-Equities\GOAU3F,GERDAU MET  ON      N1
GGBR3,BVMF-Equities\GGBR3,GERDAU      ON      N1
GGBR3F,BVMF-Equities\GGBR3F,GERDAU      ON      N1
GOAU3,BVMF-Equities\GOAU3,GERDAU MET  ON      N1
GOAU4R,BVMF-Equities\GOAU4R,GERDAU MET  PN      N1
GOAU4M,BVMF-Equities\GOAU4M,GERDAU MET  PN      N1
GOAU4Q,BVMF-Equities\GOAU4Q,GERDAU MET  PN      N1
GGBR4M,BVMF-Equities\GGBR4M,GERDAU      PN      N1
GGBR4R,BVMF-Equities\GGBR4R,GERDAU      PN      N1
GGBR3R,BVMF-Equities\GGBR3R,GERDAU      ON      N1
GGBR3Q,BVMF-Equities\GGBR3Q,GERDAU      ON      N1
GOAU3M,BVMF-Equities\GOAU3M,GERDAU MET  ON      N1
GOAU3R,BVMF-Equities\GOAU3R,GERDAU MET  ON      N1
GOAU3Q,BVMF-Equities\GOAU3Q,GERDAU MET  ON      N1
GGBR3M,BVMF-Equities\GGBR3M,GERDAU      ON      N1
VALE3Q,BVMF-Equities\VALE3Q,VALE        ON      NM
VALE3R,BVMF-Equities\VALE3R,VALE        ON      NM
VALE3F,BVMF-Equities\VALE3F,VALE        ON      NM
FESA3,BVMF-Equities\FESA3,FERBASA     ON      N1
FESA3F,BVMF-Equities\FESA3F,FERBASA     ON      N1
FESA4F,BVMF-Equities\FESA4F,FERBASA     PN      N1
FESA4,BVMF-Equities\FESA4,FERBASA     PN      N1
VALE3M,BVMF-Equities\VALE3M,VALE        ON      NM
FESA3Q,BVMF-Equities\FESA3Q,FERBASA     ON      N1
FESA4R,BVMF-Equities\FESA4R,FERBASA     PN      N1
FESA4M,BVMF-Equities\FESA4M,FERBASA     PN      N1
FESA3R,BVMF-Equities\FESA3R,FERBASA     ON      N1
FESA4Q,BVMF-Equities\FESA4Q,FERBASA     PN      N1
MGEL3F,BVMF-Equities\MGEL3F,MANGELS INDLON
MGEL4F,BVMF-Equities\MGEL4F,MANGELS INDLPN
MGEL4,BVMF-Equities\MGEL4,MANGELS INDLPN
