Hora_Ocorrencia_Exata,Direcao_Executada,Preco_Entrada,Gatilho_EMA9,Gatilho_SMA21,Filtro_VWAP,Trajetoria_Pontos
2026-04-07 12:40:01,VENDA,187310.0,187411.81,187426.43,187422.75,"[-5, -5, 0, 5, -5, -5, 0, -5, -5, -20, -5, -5, 0, -5, -10, -25, -25, -20, -45, -35, -20, -15, -25, -30, -30, -25, -25, -20, -25, -40, -25, -10, -10, 0, 0, 5, 5, 10, 15, 15, 15, 20, 15, 20, 5, 15, 25, 25, 25, 25, 30, 35, 30, 15, 20, 20, 15, 15, 10, -10, -15, -25, -25, -20, -15, -5, -10, -10, -5, 5, 5, 0, -10, -15, -25, -15, -10, -15, -20, -15, -15, -5, 5, 0, -5, 0, -5, 0, 0, 5, 25, 25, 15, 20, 20, 10, 5, 10, 10, 20, 35, 50, 40, 30, 35, 35, 30, 30, 30, 35, 20, 20, 55, 75, 60, 50, 35, 30, 35, 35, 35, 35, 30, 15, 10, 5, 10, 5, 5, 0, 5, 5, 0, 0, 5, 15, 15, 5, -5, -10, 10, 25, 35, 25, 30, 25, 25, 25, 10, 10, 15, 10, 15, 20, 10, 5, 5, 0, 0, 0, -5, -5, 0, -10, -5, -10, 0, -5, 0, -5, -5, -5, -10, 0, 0, -10, -10, -15, -5, -5, -15, -10, -20, -15, -15, -30, -25, -25, -40, -60, -60, -60, -55, -55, -55, -55, -50, -35, -50, -50, -65, -60, -50, -55, -60, -65, -75, -75, -75, -55, -45, -45, -70, -60, -50, -50, -55, -55, -60, -55, -50, -45, -35, -50, -50, -55, -75, -75, -80, -85, -90]"
2026-04-07 12:56:00,COMPRA,187490.0,187384.57,187370.24,187413.01,"[0, -25, -35, -30, -35, -30, -25, -10, -15, -35, -25, -25, -20, -25, -35, -30, -40, -45, -65, -85, -85, -80, -65, -75, -70, -75, -65, -70, -80, -85, -85, -90]"
2026-04-07 13:48:01,COMPRA,188065.0,187908.82,187895.95,187377.3,"[0, 0, -5, -10, 0, -10, -5, -5, -5, -15, -15, -20, -20, -20, -5, -15, -20, -20, -25, -15, -5, -10, -5, -5, -10, -15, -10, -5, -15, -5, -10, -10, -15, -20, -25, -25, -25, -20, -25, -25, -25, -45, -45, -50, -55, -50, -70, -90]"
2026-04-07 14:06:01,COMPRA,188090.0,187959.03,187945.0,187371.22,"[-10, -10, -10, -15, -10, -10, -35, -65, -55, -65, -65, -45, -30, -20, -20, -25, -30, -25, -30, -25, -35, -45, -60, -60, -65, -70, -70, -75, -85, -90, -70, -55, -35, -50, -50, -55, -35, 0, -10, 0, 15, 10, 15, 30, 35, 25, 20, 5, 5, 10, 10, 0, -5, 0, 10, 5, 5, 5, -10, -25, -25, -45, -45, -50, -35, -35, -30, -30, -40, -60, -70, -50, -55, -55, -70, -75, -70, -70, -70, -75, -65, -65, -65, -65, -65, -65, -60, -70, -70, -60, -35, -35, -35, -40, -35, -40, -55, -60, -60, -60, -55, -50, -45, -35, -65, -70, -65, -65, -80, -85, -80, -70, -60, -65, -70, -60, -60, -70, -65, -60, -65, -60, -65, -60, -55, -55, -55, -55, -50, -50, -55, -55, -60, -65, -60, -60, -35, -50, -65, -60, -60, -60, -60, -60, -55, -40, -40, -50, -40, -40, -35, -35, -35, -35, -35, -45, -60, -65, -55, -55, -60, -60, -55, -55, -55, -45, -45, -40, -35, -35, -35, -35, -35, -30, -25, -20, -20, -15, -25, -30, -55, -50, -45, -50, -40, -40, -45, -50, -30, -40, -30, -30, -20, -25, -25, -20, -25, -30, -40, -45, -45, -45, -50, -45, -45, -55, -50, -55, -60, -55, -55, -55, -55, -65, -65, -60, -60, -50, -45, -45, -40, -35, -50, -60, -40, -45, -45, -45, -40, -50, -45, -45, -45, -40, -40, -30, -25, -40, -55, -45, -65, -55, -50, -55, -60, -60, -60, -65, -60, -70, -70, -75, -80, -75, -80, -75, -75, -70, -60, -70, -70, -70, -70, -80, -70, -65, -60, -65, -60, -65, -60, -55, -55, -55, -65, -55, -50, -50, -55, -60, -50, -45, -45, -50, -50, -35, -45, -40, -40, -20, -30, -40, -45, -35, -30, -30, -30, -30, -35, -40, -60]"
2026-04-07 14:34:01,COMPRA,188000.0,187923.9,187918.33,187592.17,"[5, -5, 0, 10, 20, 35, 15, 25, 35, 35, 30, 45, 45, 35, 25, 35, 20, 45, 65, 65, 65, 65, 55, 50, 70, 70, 60, 60, 80, 80, 80, 80, 80, 80, 85, 95, 120, 110, 115, 90, 100, 95, 90, 85, 90, 80, 80, 80, 75, 70, 75, 75, 75, 75, 60, 70, 75, 75, 75, 70, 70, 60, 60, 65, 80, 75, 70, 65, 60, 70, 145, 150, 120, 140, 130, 105, 110, 110, 105, 95, 95, 65, 60, 70, 75, 70, 70, 75, 65, 70, 80, 85, 85, 75, 75, 85, 120, 165, 145, 190, 145, 145, 140, 135, 125, 120, 125, 120, 120, 110, 115, 115, 115, 100, 105, 105, 110, 130, 150, 135, 105, 115, 105, 90, 85, 90, 90, 80, 95, 85, 90, 90, 105, 135, 165, 170, 165, 150, 175, 225, 240, 245, 245, 255, 270, 275]"
2026-04-07 15:04:01,COMPRA,188095.0,188070.36,188061.43,187717.12,"[5, 15, 15, 15, 10, 15, 15, 15, 10, 5, 10, 10, 15, 10, 25, 45, 45, 45, 60, 50, 50, 30, 20, 20, 15, 15, 0, 5, 10, 5, -5, -15, -30, -30, -30, -35, -40, -65, -65, -65, -60, -65, -75, -70, -85, -65, -65, -65, -70, -70, -70, -65, -70, -65, -75, -60, -50, -40, -45, -35, -35, -40, -25, -35, -40, -50, -55, -55, -60, -55, -60, -60, -65, -60, -60, -70, -55, -50, -50, -50, -65, -60, -55, -55, -65, -65, -65, -70, -80, -95, -80, -90, -80]"
2026-04-07 15:14:00,COMPRA,188045.0,188033.83,188032.62,187724.28,"[5, -10, -10, -10, -10, -10, -10, -5, 5, -10, -15, -15, -10, -15, -15, -10, -15, -20, -25, -25, -20, -20, -20, -40, -50, -35, -45, -40, -35, -40, -40, -40, -40, -45, -45, -45, -50, -45, -45, -35, -45, -40, -40, -45, -45, -50, -45, -45, -40, -40, -40, -40, -45, -50, -55, -60, -60, -50, -45, -60, -75, -75, -90, -85, -80, -80, -75, -80, -85]"
2026-04-07 16:36:01,VENDA,187760.0,187935.19,187967.86,187886.61,"[5, 10, 10, 5, 5, 0, 5, 10, 5, 10, 10, 20, 10, 15, 5, 20, 10, 20, 15, 20, 5, -15, -15, -15, -10, 0, -10, -5, 0, 0, 0, -5, -15, -25, -40, -25, -40, -25, -25, -35, -40, -35, -40, -35, -25, -30, -20, -25, -15, -15, -15, -20, -30, -30, -30, -25, -30, -30, -25, -30, -45, -40, -40, -45, -45, -50, -50, -50, -50, -55, -40, -35, -20, -20, -30, -30, -45, -40, -40, -40, -40, -35, -30, -20, -15, 0, 5, -10, -10, -5, 0, -10, -5, -5, 5, 0, 0, 0, 25, 25, 15, 10, -5, -10, -5, -5, -10, -10, -10, -15, -20, -15, -10, -10, -15, -10, 0, 0, 5, -5, -5, 0, 5, 0, -5, -5, -10, -5, 0, 0, 5, -5, 0, 0, -5, 0, -10, -5, -10, -10, -10, -5, -5, -15, -15, -15, -20, -10, 0, -5, 0, 5, 0, -10, 0, 10, 10, -5, 0, 20, 40, 40, 40, 40, 30, 35, 25, 45, 65, 65, 70, 70, 75, 85, 85, 70, 75, 70, 70, 60, 70, 65, 70, 80, 80, 80, 75, 70, 60, 50, 75, 85, 80, 95, 90, 95, 95, 100, 105, 105, 100, 95, 100, 100, 80, 85, 90, 80, 70, 80, 80, 75, 90, 95, 90, 95, 100, 115, 115, 120, 115, 115, 105, 115, 125, 130, 130, 115, 110, 110, 115, 120, 115, 125, 125, 125, 130, 120, 120, 120, 125, 135, 135, 135, 135, 140, 125, 125, 145, 145, 145, 150, 145, 135, 125, 140, 140, 150, 135, 125, 125, 130, 125, 120, 130, 125, 120, 110, 110, 105, 115, 115, 90, 65, 45, 50, 55, 55, 50, 25, 25, 20, 15, 40, 65, 45, 45, 35, 45, 55, 30, 35, 30, 30, 25, 10, -10, -10, 0, 0, 10, 0, -5, -20, -20, -15, -10, -25, -15, -15, -35, -35, -15, -15, -20, -10, -5, -15, -10, -10, -10, -15, -10, -10, -5, -10, -20, -20, -20, -30, -40, -25, -30, -25, -15, 0, 5, 15, 25, 40, 35, 55, 70, 65, 70, 65, 75, 65, 50, 40, 45, 45, 50, 55, 45, 40, 50, 50, 55, 60, 65, 60, 55, 60, 55, 50, 45, 45, 35, 30, 30, 30, 30, 60, 75, 90, 95, 105, 130, 140, 120, 110, 95, 100, 95, 100, 95, 105, 100, 90, 90, 90, 105, 95, 95, 80, 80, 85, 90, 85, 80, 90, 80, 85, 90, 95, 90, 90, 90, 85, 85, 80, 85, 85, 85, 80, 90, 90, 100, 90, 90, 95, 95, 90, 80, 85, 80, 85, 85, 90, 85, 85, 85, 80, 85, 80, 75, 70, 75, 85, 85, 85, 75, 90, 85, 80, 85, 85, 70, 55, 65, 65, 65, 50, 55, 70, 55, 55, 60, 35, 50, 55, 40, 40, 40, 45, 50, 55, 55, 55, 55, 65, 65, 70, 70, 65, 85, 95, 100, 100, 100, 105, 115, 120, 105, 95, 100, 100, 100, 105, 105, 100, 105, 95, 85, 85, 90, 90, 60, 25, 5, -55]"
2026-04-07 16:47:00,COMPRA,188380.0,187980.78,187905.0,187899.92,"[-35, -50]"
