Hora_Ocorrencia_Exata,Direcao_Executada,Preco_Entrada,Gatilho_EMA9,Gatilho_SMA21,Filtro_VWAP,Trajetoria_Pontos
2026-04-09 09:30:00,COMPRA,193095.0,192914.06,192891.19,192861.49,"[5, 0, 0, 0, -5, 5, 10, 0, -10, -15, -15, -5, -5, -5, 0, -5, -5, -5, 20, 20, 20, 0, 25, 105, 75, 55, 60, 55, 45, 40, 60, 85, 110, 110, 125, 110, 120, 130, 105, 105, 110, 115, 145, 165, 220, 190, 130, 110, 100, 80, 90, 105, 110, 110, 90, 110, 110, 110, 105, 90, 95, 120, 105, 85, 50, -25]"
2026-04-09 12:20:01,COMPRA,195305.0,194691.46,194609.29,193983.39,"[-10, 10, 10, 35, 50, 60, 55, 35, 25, 0, 15, -25, -15, -30]"
2026-04-09 14:20:01,COMPRA,195635.0,195436.68,195405.95,194310.59,"[0, 0, -5, 0, -10, -15, -10, -10, -10, -20, -15, -25, -20, -10, 5, 0, 0, 10, 10, 15, 5, 10, 10, 5, 5, -5, -5, -5, -10, -5, 0, -5, -5, -15, -10, -10, -5, -5, -5, 0, 5, 0, 0, 15, 20, 15, 10, 20, 15, 20, 15, 15, 25, -15, -10, -15, -25, -25, -25, -15, -20, -15, -10, -20, -30, -30, -20, -20, -30, -10, -15, 0, 20, 20, 20, 25, 20, 20, 15, 15, 0, 10, 10, 20, 20, 30, 50, 55, 55, 55, 95, 105, 95, 80, 75, 85, 85, 85, 90, 85, 75, 65, 65, 65, 80, 95, 110, 105, 100, 100, 80, 80, 85, 75, 85, 75, 70, 75, 65, 75, 75, 65, 70, 70, 70, 70, 60, 65, 85, 80, 85, 80, 70, 80, 80, 65, 70, 75, 70, 65, 65, 65, 60, 55, 50, 20, 15, 5, 15, 10, 15, 10, 0, 5, 25, 35, 25, 30, 40, 40, 45, 45, 50, 50, 30, 35, 35, 35, 35, 40, 40, 45, 50, 55, 50, 50, 50, 35, 30, 25, 30, 25, 20, 0, 5, 10, 0, 0, -5, 0, 0, -5, -5, -15, -10, -25, -5, 5, -5, -10, 0, 25, 40, 30, 40, 50, 50, 55, 60, 65, 55, 35, 25, 20, 20, 20, 20, 20, 25, 30, 35, 40, 30, 35, 40, 50, 65, 65, 75, 80, 70, 90, 85, 105, 100, 75, 75, 85, 80, 95, 75, 70, 70, 65, 65, 70, 75, 75, 85, 90, 90, 85, 85, 90, 85, 85, 90, 85, 85, 105, 100, 100, 100, 100, 95, 100, 100, 100, 100, 105, 115, 115, 110, 110, 130, 150, 155, 140, 140, 130, 140, 145, 150, 150, 150, 135, 140, 135, 155, 145, 150, 155, 145, 130, 135, 135, 135, 130, 120, 130, 120, 120, 120, 115, 90, 85, 75, 80, 80, 70, 75, 80, 90, 80, 85, 65, 65, 70, 90, 95, 95, 90, 90, 100, 90, 95, 110, 115, 110, 100, 95, 95, 95, 95, 105, 105, 100, 115, 115, 115, 115, 125, 125, 140, 135, 145, 155, 155, 150, 145, 125, 130, 125, 120, 110, 85, 95, 100, 95, 105, 105, 120, 100, 105, 100, 140, 130, 95, 90, 95, 95, 100, 95, 95, 95, 90, 75, 80, 85, 85, 80, 75, 80, 80, 75, 75, 75, 65, 60, 60, 60, 60, 50, 40, 40, 40, 45, 55, 65, 65, 65, 55, 45, 55, 55, 55, 45, 50, 40, 45, 40, 85, 90, 90, 90, 90, 85, 85, 80, 80, 100, 80, 90, 90, 95, 85, 85, 90, 85, 85, 75, 80, 85, 85, 100, 105, 105, 100, 100, 105, 110, 110, 115, 115, 105, 115, 115, 115, 105, 105, 100, 95, 85, 100, 90, 95, 95, 100, 115, 115, 125, 135, 135, 140, 145, 145, 135, 130, 125, 130, 105, 100, 100, 90, 100, 100, 100, 95, 80, 100, 105, 115, 100, 95, 95, 85, 80, 70, 80, 80, 85, 95, 100, 100, 90, 110, 130, 125, 135, 125, 125, 130, 120, 115, 115, 120, 120, 125, 135, 135, 130, 130, 135, 140, 145, 150, 140, 140, 135, 130, 125, 125, 120, 125, 125, 130, 125, 135, 130, 135, 145, 190, 210, 210, 205, 210, 210, 205, 225, 245, 225, 205, 210, 215, 205, 205, 200, 195, 195, 200, 185, 185, 180, 180, 180, 180, 175, 180, 185, 190, 195, 195, 190, 200, 195, 200, 200, 190, 190, 190, 190, 185, 190, 205, 220, 215, 215, 210, 220, 230, 235, 235, 245, 255, 265, 265, 265, 270, 250, 240, 255, 250, 230, 225, 230, 225, 230, 235, 225, 240, 245, 260, 225, 220, 220, 210, 195, 200, 190, 200, 200, 205, 190, 190, 190, 190, 180, 175, 175, 175, 170, 170, 175, 185, 180, 195, 200, 210, 225, 220, 215, 210, 200, 210, 225, 220, 215, 180, 130, 130, 140, 160, 155, 155, 155, 160, 165, 160, 155, 150, 150, 150, 155, 150, 155, 130, 105, 115, 115, 115, 120, 110, 125, 105, 95, 105, 105, 100, 90, 95, 100, 115, 120, 130, 130, 125, 125, 125, 130, 135, 135, 135, 140, 170, 160, 160, 165, 165, 160, 165, 150, 150, 175, 175, 175, 175, 195, 195, 190, 210, 205, 215, 225, 205, 205, 200, 210, 200, 205, 195, 190, 185, 180, 190, 195, 195, 205, 205, 205, 210, 220, 225, 230, 225, 215, 210, 225, 220, 215, 200, 200, 180, 215, 225, 215, 215, 210, 205, 195, 200, 200, 205, 205, 215, 215, 215, 225, 220, 220, 225, 240, 230, 225, 230, 225, 230, 225, 225, 225, 220, 225, 215, 215, 205, 210, 210, 200, 205, 200, 205, 200, 200, 205, 195, 200, 190, 210, 205, 205, 215, 225, 220, 215, 210, 200, 205, 210, 205, 200, 220, 215, 230, 220, 215, 220, 230, 215, 210, 205, 200, 210, 205, 200, 200, 205, 205, 195, 195, 195, 180, 160, 165, 160, 160, 155, 155, 160, 160, 160, 155, 150, 155, 165, 160, 165, 165, 155, 155, 135, 130, 140, 140, 140, 125, 125, 125, 130, 130, 140, 130, 135, 110, 95, 85, 75, 85, 70, 80, 75, 80, 75, 70, 75, 80, 100, 85, 85, 100, 95, 100, 100, 100, 100, 110, 110, 105, 115, 115, 105, 110, 115, 120, 115, 125, 145, 135, 135, 135, 130, 130, 135, 145, 150, 150, 140, 150, 135, 130, 130, 135, 125, 120, 115, 110, 115, 115, 100, 110, 100, 95, 95, 90, 100, 90, 105, 105, 105, 105, 110, 120, 110, 110, 105, 105, 95, 100, 95, 95, 95, 100, 105, 110, 105, 110, 115, 125, 120, 120, 120, 120, 115, 115, 120, 110, 110, 110, 115, 105, 110, 120, 145, 150, 160, 145, 155, 160, 155, 160, 155, 150, 150, 150, 145, 150, 150, 155, 165, 155, 160, 165, 160, 170, 165, 160, 165, 155, 160, 145, 145, 150, 155, 160, 155, 155, 160, 150, 145, 145, 140, 145, 135, 150, 160, 165, 165, 160, 165, 165, 170, 180, 185, 190, 185, 180, 185, 185, 175, 175, 180, 180, 180, 185, 195, 195, 195, 195, 195, 205, 210, 195, 190, 190, 185, 180, 175, 180, 190, 170, 170, 165, 165, 170, 165, 165, 165, 165, 170, 170, 175, 170, 165, 165, 175, 175, 165, 170, 170, 165, 175, 180, 180, 190, 185, 180, 180, 175, 185, 180, 180, 180, 190, 195, 210, 235, 245, 235, 235, 230, 265, 280, 275, 270, 285]"
2026-04-09 16:10:01,COMPRA,195910.0,195636.04,195599.52,194510.82,"[-25, -20, -5, -5, -5, -15, -10, -5, -5, 0, -5, -5, 0, 0, -5, -15, -15, -20, -5, -15, -15, -10, -20, -20, -10, -15, -15, -15, -10, -15, -15, -20, -20, -20, -10, -10, -20, -20, -15, -15, -10, -10, -10, -20, -10, -15, -15, -15, -15, -20, -20, -10, -10, -10, -15, -20, -20, -15, -15, -15, -20, -20, -20, -15, -15, -20, -25, -30, -30, -25, -25, -25, -5, -15, -5, -5, -5, 0, -5, -15, -10, -10, -15, -15, -15, -10, -15, -15, -5, -5, -15, -25, -25, -25, -25, -30, -30, -30, -20, -20, -25, -20, -10, -15, -20, -15, -20, -20, -15, -20, -20, -30, -30, -30, -35, -25, -25, -30, -35]"
